Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       92     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >::base() const
  0.00      0.00     0.00       72     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >::operator*() const
  0.00      0.00     0.00       57     0.00     0.00  Point* std::__niter_base<Point*>(Point*)
  0.00      0.00     0.00       52     0.00     0.00  std::vector<Point, std::allocator<Point> >::size() const
  0.00      0.00     0.00       48     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >::__normal_iterator(Point* const&)
  0.00      0.00     0.00       48     0.00     0.00  float& std::forward<float&>(std::remove_reference<float&>::type&)
  0.00      0.00     0.00       42     0.00     0.00  std::_Deque_iterator<Point, Point&, Point*>::_Deque_iterator(std::_Deque_iterator<Point, Point&, Point*> const&)
  0.00      0.00     0.00       32     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::base() const
  0.00      0.00     0.00       30     0.00     0.00  std::vector<Point, std::allocator<Point> >::operator[](unsigned long)
  0.00      0.00     0.00       30     0.00     0.00  Point&& std::forward<Point>(std::remove_reference<Point>::type&)
  0.00      0.00     0.00       29     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       26     0.00     0.00  std::remove_reference<Point&>::type&& std::move<Point&>(Point&)
  0.00      0.00     0.00       24     0.00     0.00  Convex::calculate_distance(Point, Point)
  0.00      0.00     0.00       23     0.00     0.00  std::vector<Point, std::allocator<Point> >::end()
  0.00      0.00     0.00       22     0.00     0.00  Convex::orientation(Point, Point, Point)
  0.00      0.00     0.00       20     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       19     0.00     0.00  std::vector<Point, std::allocator<Point> >::_S_max_size(std::allocator<Point> const&)
  0.00      0.00     0.00       19     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00       19     0.00     0.00  Point const& std::forward<Point const&>(std::remove_reference<Point const&>::type&)
  0.00      0.00     0.00       18     0.00     0.00  bool __gnu_cxx::operator!=<Point*, std::vector<Point, std::allocator<Point> > >(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > const&, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > const&)
  0.00      0.00     0.00       18     0.00     0.00  std::vector<Point, std::allocator<Point> >::max_size() const
  0.00      0.00     0.00       18     0.00     0.00  std::vector<Point, std::allocator<Point> >::_S_relocate(Point*, Point*, Point*, std::allocator<Point>&)
  0.00      0.00     0.00       18     0.00     0.00  Point* std::__relocate_a<Point*, Point*, std::allocator<Point> >(Point*, Point*, Point*, std::allocator<Point>&)
  0.00      0.00     0.00       18     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<Point, void>::value, Point*>::type std::__relocate_a_1<Point, Point>(Point*, Point*, Point*, std::allocator<Point>&)
  0.00      0.00     0.00       16     0.00     0.00  bool __gnu_cxx::operator!=<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      0.00     0.00       16     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_deallocate(Point*, unsigned long)
  0.00      0.00     0.00       16     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00       15     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >::difference_type __gnu_cxx::operator-<Point*, std::vector<Point, std::allocator<Point> > >(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > const&, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > const&)
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >::operator++()
  0.00      0.00     0.00       13     0.00     0.00  std::__new_allocator<Point>::deallocate(Point*, unsigned long)
  0.00      0.00     0.00       13     0.00     0.00  std::__new_allocator<Point>::allocate(unsigned long, void const*)
  0.00      0.00     0.00       13     0.00     0.00  std::vector<Point, std::allocator<Point> >::begin()
  0.00      0.00     0.00       13     0.00     0.00  std::__deque_buf_size(unsigned long)
